workoutId,name,coach,type,zonas,duration,date,Sync,Feedback,completed
Angel74,Sesion Pre playa- Pecho y Brazo ;),Oscar,Fuerza,,90,11/12/2020,https://airtable.com/tblnhWsiv31HIswwM/recz3xPsPsY7IOlJm?blocks=bliHMlxTWf3Xp3Uj6,,
Nona12,Circuit Training ,Miriam,Circuit Training,Full Body,60,11/12/2020,https://airtable.com/tblnhWsiv31HIswwM/recxTRdLiTeUVTMfi?blocks=bliHMlxTWf3Xp3Uj6,,
Ignacio12,Circuit training,Oscar,Fuerza Resistencia,Full Body,45,11/22/2020,https://airtable.com/tblnhWsiv31HIswwM/rec86q3HFP0eQxn7s?blocks=bliHMlxTWf3Xp3Uj6,,
Andres13,Primer Circuito,Ken,Circuit Training,Full Body,60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/rec7a7hyHgKS8zSbt?blocks=bliHMlxTWf3Xp3Uj6,,
Pablo13,Primer Circuito,Ken,Circuit Training,Full Body,60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recnny1xVbl1vLeDQ?blocks=bliHMlxTWf3Xp3Uj6,,
Alvaro13,Primer Circuito,Ken,Circuit Training,Full Body,60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recKsUyqUsP1vas3m?blocks=bliHMlxTWf3Xp3Uj6,,
Angel75,Más pierna,Oscar,Fuerza,,90,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recEYi9TI1qVa0vya?blocks=bliHMlxTWf3Xp3Uj6,,
Jose74,Carrera intervalo largo y ritmo alegre,Oscar,Running,"Piernas,Core",60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recHySJJB033fdomp?blocks=bliHMlxTWf3Xp3Uj6,,
Yago23,Fuerza Resistencia I,Oscar,Fuerza Resistencia,,45,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recb5uEeJ0XWtDVgH?blocks=bliHMlxTWf3Xp3Uj6,,
Magdalena13,FitCircuit,Miriam,Circuit Training,Full Body,60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recMPRGNeT4ieTPyv?blocks=bliHMlxTWf3Xp3Uj6,,
Macarena23,FullBody Workout,Miriam,Fuerza,,60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recfFUKj5myUXR3Te?blocks=bliHMlxTWf3Xp3Uj6,,
Miriam13,entreno 3,Ken,Fuerza,,60,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recwE8YLsxOQq82rz?blocks=bliHMlxTWf3Xp3Uj6,,
Oscar13,Fuerza,Ken,Fuerza Tirón,,90,11/13/2020,https://airtable.com/tblnhWsiv31HIswwM/recxZv93D4ncsv24y?blocks=bliHMlxTWf3Xp3Uj6,5,checked
Borja72,Carera tirada larga,Oscar,Running,"Piernas,Core",60,11/14/2020,https://airtable.com/tblnhWsiv31HIswwM/rec9b1ZdpRA3u93yP?blocks=bliHMlxTWf3Xp3Uj6,,
Jose75,Joker,Oscar,Comodín,,60,11/14/2020,https://airtable.com/tblnhWsiv31HIswwM/rec1GQew3gYemKEcz?blocks=bliHMlxTWf3Xp3Uj6,,
Pablo14,Fuerte Sabado,Ken,Fuerza,Full Body,60,11/14/2020,https://airtable.com/tblnhWsiv31HIswwM/reci1j3NDZEWCDsN2?blocks=bliHMlxTWf3Xp3Uj6,,
Nona13,Tone + Cardio,Miriam,Fuerza Resistencia,,60,11/15/2020,https://airtable.com/tblnhWsiv31HIswwM/recruJeoJzoR6ubMP?blocks=bliHMlxTWf3Xp3Uj6,,
Jose76,Minimos,Oscar,Mínimos,,60,11/15/2020,https://airtable.com/tblnhWsiv31HIswwM/receKz6n7y43eUqDv?blocks=bliHMlxTWf3Xp3Uj6,,
Pablo21,Empuje,Ken,Fuerza Empuje,"Pecho,Hombros",45,11/14/2020,https://airtable.com/tblnhWsiv31HIswwM/recl0AouECwdleikm?blocks=bliHMlxTWf3Xp3Uj6,7,checked
Elena11,Tonifica tus músculos,Miriam,Fuerza,Full Body,45,11/17/2020,https://airtable.com/tblnhWsiv31HIswwM/recPffBDLGuv702X9?blocks=bliHMlxTWf3Xp3Uj6,,
Elena12,Cardio + Tono,Miriam,Fuerza,Full Body,45,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/rec5NEN9wWvSN8HvU?blocks=bliHMlxTWf3Xp3Uj6,4,checked
Macarena31,GAP,Miriam,Fuerza,"Core,Piernas",60,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/reckRPSKIjhTyo1EP?blocks=bliHMlxTWf3Xp3Uj6,,
Magdalena21,GAP,Miriam,Fuerza,"Core,Piernas",60,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/rec2ntPs382oTIcvp?blocks=bliHMlxTWf3Xp3Uj6,,
Nona21,GAP,Miriam,Fuerza,"Core,Piernas",60,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/recIr1WBtxfJ8SpH4?blocks=bliHMlxTWf3Xp3Uj6,,
Macarena32,Circuit Training ,Miriam,Circuit Training,Full Body,60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/rectp6n9LOcRLJxNo?blocks=bliHMlxTWf3Xp3Uj6,,
Magdalena22,"Circuito ""Full body""",Miriam,Circuit Training,Full Body,60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recDIQwbAyNWRoVGF?blocks=bliHMlxTWf3Xp3Uj6,,
Nona22,Full Body Circuit Training,Miriam,Circuit Training,Full Body,60,11/17/2020,https://airtable.com/tblnhWsiv31HIswwM/recV0piX2GlEOFalY?blocks=bliHMlxTWf3Xp3Uj6,,
Macarena33,Full body ,Miriam,Fuerza,Full Body,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recQOq4Y1dhQopoZO?blocks=bliHMlxTWf3Xp3Uj6,,
Magdalena23,Cintura + Glúteo,Miriam,Fuerza,Full Body,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recQd5MVilRzf94UH?blocks=bliHMlxTWf3Xp3Uj6,,
Nona23,Entreno glúteo de acero ,Miriam,Fuerza,Full Body,60,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/rechbXJuHbSShJAZ3?blocks=bliHMlxTWf3Xp3Uj6,,
Angel81,Fuerza de empuje I Puro pecho,Oscar,Fuerza,Pecho,90,11/21/2020,https://airtable.com/tblnhWsiv31HIswwM/recmntA0JYXoMDVtt?blocks=bliHMlxTWf3Xp3Uj6,,
Angel82,Tirón Espalda y brazos,Oscar,Fuerza,Espalda,90,11/17/2020,https://airtable.com/tblnhWsiv31HIswwM/recc1mWaV8EzpBVDd?blocks=bliHMlxTWf3Xp3Uj6,,
Angel83,Empuje II Hombro y piernas,Oscar,Fuerza,"Hombros,Piernas",90,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recLZHBsNycdpdVsy?blocks=bliHMlxTWf3Xp3Uj6,,
Angel84,Empuje III Repaso Pecho Brazos y Core,Oscar,Fuerza,"Pecho,Core",90,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recrDycTxQewr2Aab?blocks=bliHMlxTWf3Xp3Uj6,,
Angel85,Pierna,Oscar,Fuerza,Piernas,90,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/rechHKh1bLmsHXnqG?blocks=bliHMlxTWf3Xp3Uj6,,
Jose81,Carrera intervalos cortos ,Oscar,Running,Full Body,60,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/recISBdZ0GQHxySlE?blocks=bliHMlxTWf3Xp3Uj6,,
Jose82,Fuerza empuje,Oscar,Fuerza,Full Body,60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recpf8LkBkSKTFniT?blocks=bliHMlxTWf3Xp3Uj6,,
Jose83,Fuerza tirón,Oscar,Fuerza,Full Body,60,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recoZUuEOjwRlQxvf?blocks=bliHMlxTWf3Xp3Uj6,,
Jose84,Carrera intervalos largos ,Oscar,Running,Full Body,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recMJpd6HHncgLNLt?blocks=bliHMlxTWf3Xp3Uj6,,
Jose85,Comodín,Oscar,Fuerza,Full Body,30,11/21/2020,https://airtable.com/tblnhWsiv31HIswwM/recgxe5gSoow9hWWl?blocks=bliHMlxTWf3Xp3Uj6,,
Jose86,No utilizar ;),Oscar,Fuerza,Full Body,15,11/22/2020,https://airtable.com/tblnhWsiv31HIswwM/recCU7Mv4tysgbPwN?blocks=bliHMlxTWf3Xp3Uj6,,
Borja81,Fuerza,Oscar,Fuerza,Full Body,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recbwfQKALhTxQ3CV?blocks=bliHMlxTWf3Xp3Uj6,,
Borja82,Carrera ,Oscar,Running,Full Body,60,11/22/2020,https://airtable.com/tblnhWsiv31HIswwM/recdiNBVmn3onTgKw?blocks=bliHMlxTWf3Xp3Uj6,,
Pablo31,Fuerza empuje,Ken,Fuerza Empuje,"Pecho,Hombros,Brazos",90,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/recHwfXNisoaVNVyF?blocks=bliHMlxTWf3Xp3Uj6,,
Yago31,Petón do Xalo,Oscar,Fuerza,Full Body,30,11/17/2020,https://airtable.com/tblnhWsiv31HIswwM/recvLYLyOybpwxtvJ?blocks=bliHMlxTWf3Xp3Uj6,,
Yago32,Faro Budiño,Oscar,Fuerza Empuje,Full Body,30,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recmhr0ZjQJ8077fh?blocks=bliHMlxTWf3Xp3Uj6,,
Yago33,Fragas do Eume,Oscar,Fuerza,Full Body,30,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recD0E1rdAKQnULft?blocks=bliHMlxTWf3Xp3Uj6,,
Oscar21,Petón do Xalo,Ken,Fuerza,Full Body,30,11/15/2020,https://airtable.com/tblnhWsiv31HIswwM/rectJ4mHEmDxEDHfg?blocks=bliHMlxTWf3Xp3Uj6,,
Oscar22,Faro Budiño,Ken,Fuerza Empuje,Full Body,30,11/17/2020,https://airtable.com/tblnhWsiv31HIswwM/reccJwcVsazi7pEbw?blocks=bliHMlxTWf3Xp3Uj6,,
Oscar23,Fragas do Eume,Ken,Fuerza,Full Body,30,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/reco3jolGD9VY7Cow?blocks=bliHMlxTWf3Xp3Uj6,,
Miriam21,Miriam 21,Ken,Fuerza,Full Body,60,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/rec9GBCccx7ea1NPn?blocks=bliHMlxTWf3Xp3Uj6,,
Miriam22,Miriam 22,Ken,Circuit Training,Full Body,60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recOO6UCC0lV2jvNy?blocks=bliHMlxTWf3Xp3Uj6,,
Miriam23,Miriam 23,Ken,Fuerza,Full Body,60,11/19/2020,https://airtable.com/tblnhWsiv31HIswwM/recjCgfF8bBRw3hzj?blocks=bliHMlxTWf3Xp3Uj6,,
Miriam24,Miriam 24,Ken,Fuerza,Full Body,60,11/20/2020,https://airtable.com/tblnhWsiv31HIswwM/recG6xLMnGeetJhnR?blocks=bliHMlxTWf3Xp3Uj6,,
Andres21,Lebron,Ken,Fuerza,Full Body,45,11/16/2020,https://airtable.com/tblnhWsiv31HIswwM/recPfrmSlhaEK3ma0?blocks=bliHMlxTWf3Xp3Uj6,,
Andres22,Harden,Ken,Running,Full Body,60,11/18/2020,https://airtable.com/tblnhWsiv31HIswwM/recy7tBGjZ8wdwXmO?blocks=bliHMlxTWf3Xp3Uj6,,
